datetime,Kum,Elphelt,Sol,Ky,Ram,Raven,Sin,Johnny,May,Leo,Chipp,Millia,Baiken,Answer,Zato,Potemkin,INo,Slayer,Venom,Axl,Dizzy,Faust,Bedman,Jacko,Jam
2020-07-30,1.8％,3.85％,11.41％,7.62％,2.69％,3.44％,3.89％,6.4％,4.23％,4.11％,2.62％,3.09％,4.76％,1.89％,2.17％,4.73％,3.51％,7.46％,3.59％,3.07％,3.73％,3.19％,1.82％,1.43％,3.51％
2020-07-30,1.8％,3.85％,11.41％,7.62％,2.69％,3.44％,3.89％,6.4％,4.23％,4.11％,2.62％,3.09％,4.76％,1.89％,2.17％,4.73％,3.51％,7.46％,3.59％,3.07％,3.73％,3.19％,1.82％,1.43％,3.51％
2020-07-30,1.8％,3.85％,11.41％,7.62％,2.69％,3.44％,3.89％,6.4％,4.23％,4.11％,2.62％,3.09％,4.76％,1.89％,2.17％,4.73％,3.51％,7.46％,3.59％,3.07％,3.73％,3.19％,1.82％,1.43％,3.51％
